360;459;659;562;656;212;180;973;601;171;627;545;456;721;279;695;100;956;533;842;581;986;600;577;767;882;662;870;761;28;659;177;242;242;193;128;178;20;358;182
747;819;135;228;911;184;291;898;615;555;457;321;882;357;47;329;300;336;960;431;915;505;463;886;859;616;352;685;589;186;995;290;488;584;591;477;564;518;144;960
252;553;949;237;234;881;226;379;494;492;489;521;951;661;105;87;31;631;181;277;473;396;715;46;976;569;916;11;825;828;372;86;952;143;99;497;362;606;930;865
520;778;116;179;254;152;279;975;608;166;604;825;184;107;592;1000;840;349;279;355;831;390;395;355;891;482;933;950;492;739;885;336;487;468;876;180;64;352;889;257
992;306;382;888;710;210;827;357;540;640;693;767;45;424;589;22;822;254;260;31;271;325;721;362;589;73;886;356;245;809;835;17;975;905;168;233;321;322;466;823
197;68;780;21;711;681;454;718;357;581;480;61;705;807;515;874;179;85;939;52;48;677;668;801;198;302;289;301;17;985;450;79;676;192;630;120;462;610;960;19
138;782;129;512;258;401;627;160;245;836;867;246;901;219;245;232;513;677;774;321;113;901;786;161;422;951;27;493;74;707;206;336;146;127;223;350;724;855;320;804
312;599;214;533;926;61;169;921;261;547;271;16;597;610;729;58;183;235;743;454;662;822;816;678;534;768;105;38;679;145;749;812;102;566;756;131;435;227;962;588
432;574;917;173;320;101;412;361;282;751;188;801;918;419;806;24;379;672;250;582;177;414;931;54;258;838;525;773;635;253;56;170;226;436;865;459;530;581;384;434
383;999;451;268;502;300;992;115;192;77;459;579;975;960;620;599;757;942;509;601;464;168;357;988;455;36;673;312;73;815;629;184;44;374;474;261;732;264;191;344
923;407;518;515;168;237;347;500;775;682;475;399;71;669;650;591;719;57;448;826;581;972;760;707;989;979;496;436;867;996;155;380;889;339;28;563;682;334;721;152
671;283;925;167;166;494;807;873;581;312;515;592;462;420;199;210;54;239;352;340;10;163;850;740;659;974;290;140;758;772;255;630;961;291;104;890;890;245;464;894
701;382;311;809;834;168;548;361;33;634;497;523;567;584;569;918;757;276;869;627;567;714;507;592;470;953;892;24;593;329;330;355;979;621;379;159;240;313;918;279
209;943;990;301;779;473;91;34;863;119;75;718;213;205;355;450;316;321;513;146;571;995;230;785;842;354;209;36;936;104;841;895;640;704;527;925;746;552;222;26
418;662;980;207;980;349;23;835;211;688;358;741;478;295;517;666;802;115;697;601;287;369;306;353;335;566;460;214;292;582;117;972;951;842;759;546;984;763;795;178
350;468;629;75;413;93;92;808;660;629;205;214;609;345;268;102;145;442;917;694;447;666;744;155;309;731;151;29;322;391;902;621;34;584;827;206;131;159;276;924
517;328;435;255;349;70;539;274;682;639;265;881;86;913;288;693;101;381;525;705;516;834;798;93;93;569;119;86;35;769;321;906;142;299;679;79;691;722;912;260
19;747;586;707;795;136;598;838;555;16;682;724;128;853;330;495;426;479;15;374;741;635;552;46;417;700;932;887;821;412;647;463;223;344;532;516;139;272;439;677
447;752;340;269;194;543;953;623;676;559;104;241;684;831;727;891;102;337;196;862;42;260;984;192;875;90;772;320;546;725;908;669;13;426;817;564;925;681;905;610
346;428;579;27;411;160;685;208;259;758;306;773;77;680;353;960;615;508;987;958;887;537;863;823;668;768;76;682;71;716;835;902;170;849;335;948;453;422;806;656
573;935;676;608;432;472;167;676;624;159;790;819;204;682;485;666;744;904;789;384;902;484;153;250;502;305;612;82;946;185;231;718;512;335;246;829;484;970;245;914
220;391;286;971;170;821;411;951;428;221;285;766;120;517;158;72;912;681;529;983;303;52;981;969;82;875;621;410;325;576;243;597;480;990;757;267;375;155;368;38
699;995;992;808;739;281;601;189;882;900;211;424;227;212;272;835;310;242;291;989;662;746;704;846;98;211;995;923;766;437;810;815;707;198;788;704;766;647;653;207
287;531;845;23;148;226;777;59;973;906;99;937;739;240;219;52;563;24;261;562;180;302;156;940;438;658;231;659;354;95;773;777;99;363;385;668;327;961;662;783
517;48;895;708;243;773;795;314;617;678;497;184;348;795;313;270;902;978;923;537;949;716;240;392;538;532;736;737;209;407;965;954;859;716;513;281;152;358;901;463
292;529;686;790;417;802;163;81;331;430;491;940;427;647;953;14;918;64;710;773;424;916;607;240;135;745;719;850;205;236;888;842;526;513;852;36;776;844;922;947
77;136;558;84;598;16;250;322;636;505;23;100;974;58;342;485;538;23;108;64;849;921;704;997;738;433;564;174;829;104;107;871;814;615;663;454;216;957;802;495

